image_name	evaluation_status	x_1	y_1	x_2	y_2	attribute2_143	attribute2_197	attribute2_205	attribute2_213	attribute2_255	attribute2_301	attribute2_311	attribute2_454	attribute2_496	attribute2_514	attribute2_602	attribute2_714	attribute2_718	attribute2_914	attribute2_984
img/Sheer_Pleated-Front_Blouse/img_00000006.jpg	val	47	67	211	241	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Sheer_Pleated-Front_Blouse/img_00000016.jpg	train	20	86	178	276	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Sheer_Pleated-Front_Blouse/img_00000044.jpg	train	60	51	161	211	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Sheer_Pleated-Front_Blouse/img_00000062.jpg	train	52	51	170	185	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Sheer_Pleated-Front_Blouse/img_00000077.jpg	train	1	47	236	286	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Sheer_Pleated-Front_Blouse/img_00000092.jpg	train	84	48	149	147	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Sheer_Pleated-Front_Blouse/img_00000143.jpg	val	9	82	179	242	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Sheer_Woven_Blouse/img_00000081.jpg	train	50	86	210	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Sheer_Woven_Blouse/img_00000081.jpg	train	50	86	210	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000005.jpg	train	62	85	170	209	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000016.jpg	train	85	40	159	157	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000016.jpg	train	85	40	159	157	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000027.jpg	val	48	72	173	225	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000031.jpg	test	61	82	247	264	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000041.jpg	train	1	75	179	268	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000050.jpg	train	11	86	193	300	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000052.jpg	train	41	65	135	146	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000056.jpg	train	76	102	256	271	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000061.jpg	train	6	65	174	221	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000062.jpg	train	35	52	202	283	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000070.jpg	train	80	63	232	192	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000076.jpg	train	42	70	163	214	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000076.jpg	train	42	70	163	214	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000089.jpg	train	23	45	233	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000104.jpg	test	106	57	202	300	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000130.jpg	train	67	81	239	286	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000131.jpg	train	78	73	236	238	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000141.jpg	train	36	94	170	261	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000004.jpg	train	85	92	234	263	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000012.jpg	val	12	78	164	222	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000036.jpg	test	99	116	172	196	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000042.jpg	train	40	99	138	243	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000069.jpg	train	44	55	135	152	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000069.jpg	train	44	55	135	152	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000084.jpg	train	19	69	193	234	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Side-Slit_Collared_Blouse/img_00000006.jpg	val	52	44	136	142	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000073.jpg	train	1	53	200	264	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000074.jpg	train	69	72	218	300	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
