image_name	evaluation_status	x_1	y_1	x_2	y_2	attribute5_163	attribute5_578	attribute5_693	attribute5_706	attribute5_761	attribute5_782	attribute5_824	attribute5_893
img/Sheer_Woven_Blouse/img_00000029.jpg	test	76	62	197	252	0	1	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000029.jpg	test	76	62	197	252	0	1	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000030.jpg	val	7	81	186	300	0	0	0	0	0	0	1	0
img/Sheer_Woven_Blouse/img_00000030.jpg	val	7	81	186	300	0	0	0	0	0	0	1	0
img/Sheer_Woven_Blouse/img_00000030.jpg	val	7	81	186	300	0	0	0	0	0	0	1	0
img/Sheer_Woven_Blouse/img_00000104.jpg	train	47	82	175	298	0	0	0	0	0	0	1	0
img/Sheer_Woven_Blouse/img_00000111.jpg	train	5	95	204	297	0	0	0	0	0	0	1	0
img/Sheer_Woven_Blouse/img_00000111.jpg	train	5	95	204	297	0	0	0	0	0	0	1	0
img/Sheer_Woven_Blouse/img_00000123.jpg	train	25	90	182	300	0	0	0	0	0	0	1	0
img/Shirred_Floral-Embroidered_Blouse/img_00000002.jpg	train	1	96	141	269	0	0	0	1	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000049.jpg	val	71	97	264	250	0	0	0	0	1	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000056.jpg	train	76	102	256	271	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000056.jpg	train	76	102	256	271	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000096.jpg	train	104	50	210	211	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000096.jpg	train	104	50	210	211	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000113.jpg	train	27	65	161	228	0	0	0	1	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000125.jpg	train	98	68	208	248	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000135.jpg	val	70	91	244	256	0	0	0	0	0	0	1	0
img/Shirred_Floral-Embroidered_Blouse/img_00000136.jpg	val	90	66	214	249	0	1	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000139.jpg	val	39	75	170	199	0	0	0	0	1	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000023.jpg	test	51	73	190	241	0	0	1	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000067.jpg	train	73	82	230	217	0	0	0	0	0	0	0	1
img/Shirred_Lace-Paneled_Blouse/img_00000067.jpg	train	73	82	230	217	0	0	0	0	0	0	0	1
img/Shirred_Lace-Paneled_Blouse/img_00000075.jpg	train	69	84	244	245	0	1	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000075.jpg	train	69	84	244	245	0	1	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000075.jpg	train	69	84	244	245	0	1	0	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000033.jpg	train	43	51	159	198	0	0	0	0	0	0	0	1
img/Side-Slit_Collared_Blouse/img_00000047.jpg	train	86	6	222	244	0	0	0	0	0	0	1	0
img/Side-Slit_Striped_Blouse/img_00000004.jpg	val	29	7	210	247	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000021.jpg	test	89	1	216	185	0	0	0	0	1	0	0	0
img/Side-Slit_Striped_Blouse/img_00000027.jpg	train	41	48	148	204	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000037.jpg	train	1	18	166	184	0	0	0	1	0	0	0	0
img/Side-Slit_Striped_Blouse/img_00000053.jpg	val	61	58	242	300	0	0	0	0	0	0	0	1
img/Single-Button_Blazer/img_00000047.jpg	train	1	38	225	300	1	0	0	0	0	0	0	0
img/Single-Button_Blazer/img_00000072.jpg	test	7	94	170	287	1	0	0	0	0	0	0	0
img/Single-Button_Blazer/img_00000082.jpg	train	74	107	225	252	0	0	0	0	0	0	1	0
img/Single-Button_Blazer/img_00000098.jpg	test	1	55	210	273	0	0	0	1	0	0	0	0
img/Single-Button_Blazer/img_00000098.jpg	test	1	55	210	273	0	0	0	1	0	0	0	0
img/Single-Button_Blazer/img_00000132.jpg	test	1	56	183	300	1	0	0	0	0	0	0	0
