image_name	evaluation_status	x_1	y_1	x_2	y_2	attribute1_187	attribute1_366	attribute1_442	attribute1_566	attribute1_594	attribute1_731	attribute1_746	attribute1_884	attribute1_885
img/Sheer_Pleated-Front_Blouse/img_00000104.jpg	train	69	81	226	279	1	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000015.jpg	train	88	55	240	299	1	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000023.jpg	train	72	63	228	290	1	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000031.jpg	train	43	49	215	292	1	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000071.jpg	val	34	61	156	219	0	0	0	0	0	0	1	0	0
img/Sheer_Woven_Blouse/img_00000071.jpg	val	34	61	156	219	0	0	0	0	0	0	1	0	0
img/Sheer_Woven_Blouse/img_00000075.jpg	train	29	63	135	185	0	0	0	0	0	0	1	0	0
img/Sheer_Woven_Blouse/img_00000075.jpg	train	29	63	135	185	0	0	0	0	0	0	1	0	0
img/Sheer_Woven_Blouse/img_00000075.jpg	train	29	63	135	185	0	0	0	0	0	0	1	0	0
img/Sheer_Woven_Blouse/img_00000075.jpg	train	29	63	135	185	0	0	0	0	0	0	1	0	0
img/Sheer_Woven_Blouse/img_00000096.jpg	train	51	83	201	267	0	1	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000114.jpg	train	33	78	213	279	1	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000114.jpg	train	33	78	213	279	1	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000114.jpg	train	33	78	213	279	1	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000129.jpg	train	28	89	170	264	0	0	0	0	0	1	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000013.jpg	test	34	50	114	123	0	1	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000020.jpg	train	73	60	179	183	0	1	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000031.jpg	test	61	82	247	264	0	1	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000031.jpg	test	61	82	247	264	0	1	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000043.jpg	train	30	60	152	210	0	0	0	0	0	0	0	1	0
img/Shirred_Floral-Embroidered_Blouse/img_00000052.jpg	train	41	65	135	146	0	1	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000065.jpg	train	43	59	200	236	0	1	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000065.jpg	train	43	59	200	236	0	1	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000121.jpg	test	58	49	146	154	0	1	0	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000002.jpg	train	13	63	138	200	0	0	0	0	0	0	1	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000002.jpg	train	13	63	138	200	0	0	0	0	0	0	1	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000019.jpg	train	35	99	199	272	0	0	0	0	0	0	0	0	1
img/Shirred_Lace-Paneled_Blouse/img_00000033.jpg	val	35	66	179	231	0	0	0	0	0	1	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000048.jpg	val	6	70	176	235	0	1	0	0	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000005.jpg	train	71	44	107	140	0	0	0	1	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000006.jpg	val	52	44	136	142	0	0	0	1	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000006.jpg	val	52	44	136	142	0	0	0	1	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000016.jpg	train	51	86	169	290	0	0	0	0	0	1	0	0	0
img/Side-Slit_Collared_Blouse/img_00000048.jpg	train	165	73	278	293	0	0	0	0	0	1	0	0	0
img/Side-Slit_Collared_Blouse/img_00000052.jpg	train	104	74	217	232	0	0	0	0	0	0	0	0	1
img/Side-Slit_Collared_Blouse/img_00000052.jpg	train	104	74	217	232	0	0	0	0	0	0	0	0	1
img/Side-Slit_Collared_Blouse/img_00000052.jpg	train	104	74	217	232	0	0	0	0	0	0	0	0	1
img/Side-Slit_Collared_Blouse/img_00000077.jpg	train	28	81	202	264	0	0	0	1	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000077.jpg	train	28	81	202	264	0	0	0	1	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000077.jpg	train	28	81	202	264	0	0	0	1	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000085.jpg	test	57	45	148	200	0	0	0	0	0	0	0	0	1
img/Side-Slit_Collared_Blouse/img_00000094.jpg	train	52	10	174	203	0	0	0	1	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000108.jpg	val	61	52	168	152	0	0	0	0	0	0	1	0	0
img/Side-Slit_Collared_Blouse/img_00000108.jpg	val	61	52	168	152	0	0	0	0	0	0	1	0	0
img/Side-Slit_Striped_Blouse/img_00000015.jpg	train	101	79	219	261	0	0	0	0	0	0	0	1	0
img/Side-Slit_Striped_Blouse/img_00000024.jpg	train	61	12	183	143	0	0	0	0	0	0	0	1	0
img/Side-Slit_Striped_Blouse/img_00000024.jpg	train	61	12	183	143	0	0	0	0	0	0	0	1	0
img/Side-Slit_Striped_Blouse/img_00000045.jpg	train	40	78	176	294	0	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000059.jpg	test	193	1	293	170	0	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000059.jpg	test	193	1	293	170	0	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000075.jpg	train	63	90	188	256	0	0	0	0	0	0	0	1	0
img/Side-Slit_Striped_Blouse/img_00000076.jpg	train	26	5	146	177	0	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000082.jpg	train	63	50	136	115	0	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000084.jpg	train	21	62	145	220	0	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000089.jpg	train	42	46	149	169	0	0	0	0	0	0	0	0	1
img/Side-Slit_Striped_Blouse/img_00000098.jpg	val	52	1	138	279	0	0	0	0	0	0	0	0	1
img/Single-Button_Blazer/img_00000071.jpg	train	26	59	236	266	0	0	0	1	0	0	0	0	0
img/Single-Button_Blazer/img_00000086.jpg	train	43	71	181	234	0	0	0	0	0	0	1	0	0
img/Single-Button_Blazer/img_00000086.jpg	train	43	71	181	234	0	0	0	0	0	0	1	0	0
img/Single-Button_Blazer/img_00000150.jpg	train	66	81	168	134	0	0	0	1	0	0	0	0	0
img/Sleek_Draped_Blouse/img_00000026.jpg	train	52	61	194	256	0	0	0	0	0	0	1	0	0
img/Sleek_Draped_Blouse/img_00000029.jpg	train	70	58	137	128	0	0	0	0	0	0	1	0	0
