image_name	evaluation_status	x_1	y_1	x_2	y_2	attribute3_1	attribute3_82	attribute3_94	attribute3_122	attribute3_227	attribute3_228	attribute3_237	attribute3_240	attribute3_572	attribute3_597	attribute3_617	attribute3_621	attribute3_641	attribute3_699	attribute3_818	attribute3_821	attribute3_823	attribute3_831	attribute3_832	attribute3_945
img/Sheer_Pleated-Front_Blouse/img_00000059.jpg	train	166	41	246	168	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000071.jpg	train	89	15	154	114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000071.jpg	train	89	15	154	114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000071.jpg	train	89	15	154	114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000096.jpg	test	1	69	289	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000125.jpg	train	26	70	190	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
img/Sheer_Pleated-Front_Blouse/img_00000129.jpg	val	52	67	180	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000148.jpg	train	48	32	254	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Sheer_Pleated-Front_Blouse/img_00000148.jpg	train	48	32	254	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Sheer_Pleated-Front_Blouse/img_00000149.jpg	train	75	79	171	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Sheer_Woven_Blouse/img_00000019.jpg	train	59	52	162	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Sheer_Woven_Blouse/img_00000048.jpg	val	30	56	155	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Sheer_Woven_Blouse/img_00000063.jpg	train	38	60	169	134	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000063.jpg	train	38	60	169	134	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000065.jpg	val	11	52	153	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Sheer_Woven_Blouse/img_00000067.jpg	train	43	74	151	263	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000067.jpg	train	43	74	151	263	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000067.jpg	train	43	74	151	263	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000072.jpg	test	41	85	219	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Sheer_Woven_Blouse/img_00000078.jpg	train	63	66	147	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000016.jpg	train	85	40	159	157	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000046.jpg	test	26	72	158	243	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000060.jpg	train	36	79	136	246	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Shirred_Floral-Embroidered_Blouse/img_00000084.jpg	train	20	61	192	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000084.jpg	train	20	61	192	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000092.jpg	train	6	89	178	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000140.jpg	val	54	72	254	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000140.jpg	val	54	72	254	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000140.jpg	val	54	72	254	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Floral-Embroidered_Blouse/img_00000140.jpg	val	54	72	254	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
img/Shirred_Lace-Paneled_Blouse/img_00000010.jpg	val	80	50	175	219	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000029.jpg	train	54	85	146	219	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000052.jpg	train	80	47	133	141	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000053.jpg	train	41	66	175	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Shirred_Lace-Paneled_Blouse/img_00000073.jpg	val	54	75	174	252	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000002.jpg	train	47	39	156	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Side-Slit_Collared_Blouse/img_00000064.jpg	test	67	50	126	114	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
img/Side-Slit_Collared_Blouse/img_00000081.jpg	train	54	42	134	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Side-Slit_Collared_Blouse/img_00000097.jpg	train	10	79	153	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
img/Side-Slit_Striped_Blouse/img_00000003.jpg	train	126	59	169	154	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Side-Slit_Striped_Blouse/img_00000005.jpg	test	50	65	112	215	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Side-Slit_Striped_Blouse/img_00000009.jpg	train	50	42	134	208	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
img/Side-Slit_Striped_Blouse/img_00000009.jpg	train	50	42	134	208	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
img/Side-Slit_Striped_Blouse/img_00000009.jpg	train	50	42	134	208	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
img/Side-Slit_Striped_Blouse/img_00000016.jpg	val	95	47	173	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
