image_name	evaluation_status	x_1	y_1	x_2	y_2	attribute4_62	attribute4_113	attribute4_182	attribute4_293	attribute4_471	attribute4_721	attribute4_752	attribute4_826	attribute4_837	attribute4_838	attribute4_879	attribute4_936	attribute4_957	attribute4_994
img/Sheer_Pleated-Front_Blouse/img_00000055.jpg	train	14	75	145	241	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000076.jpg	test	16	90	206	243	0	0	0	0	0	0	0	0	1	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000111.jpg	test	52	72	183	269	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000118.jpg	train	1	68	190	258	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000121.jpg	val	23	98	181	300	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000137.jpg	train	55	11	264	263	0	0	1	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000137.jpg	train	55	11	264	263	0	0	1	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Pleated-Front_Blouse/img_00000145.jpg	val	26	94	190	288	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000014.jpg	train	17	67	181	261	0	0	0	0	0	1	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000015.jpg	train	88	55	240	299	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000015.jpg	train	88	55	240	299	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000022.jpg	train	65	82	187	184	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000031.jpg	train	43	49	215	292	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000054.jpg	train	30	80	226	248	0	0	0	0	0	0	0	0	1	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000063.jpg	train	38	60	169	134	0	0	0	0	0	0	0	0	1	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000064.jpg	test	83	35	191	197	0	0	0	0	0	0	0	1	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000067.jpg	train	43	74	151	263	0	0	0	0	0	0	0	0	0	1	0	0	0	0
img/Sheer_Woven_Blouse/img_00000073.jpg	train	51	106	205	299	0	0	0	0	0	0	0	0	0	1	0	0	0	0
img/Sheer_Woven_Blouse/img_00000076.jpg	train	38	58	218	293	0	1	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000081.jpg	train	50	86	210	282	0	0	0	0	0	0	0	0	0	0	0	0	1	0
img/Sheer_Woven_Blouse/img_00000087.jpg	train	95	76	197	251	1	0	0	0	0	0	0	0	0	0	0	0	0	0
img/Sheer_Woven_Blouse/img_00000101.jpg	train	77	78	184	247	0	0	0	0	0	0	0	0	0	1	0	0	0	0
img/Sheer_Woven_Blouse/img_00000101.jpg	train	77	78	184	247	0	0	0	0	0	0	0	0	0	1	0	0	0	0
